Internal ID,agency,Priority,Street Address,callcode,Nature Text,Nature Code,Time Received,calltime,disposition,precinctSCA,respondingunit,officerinitiated,intaketime,dispatchtime,Time Dispatched,Time Arrived,Time Closed,traveltime,totresponsetime,timeonscene,totaltime,Longitude,Latitude,District,Close Code,Close Text,City,Zip
HP160970008,DPD,50,WOODWARD AVE   MANCHESTER ST HPK  ,827050,DDOT/BOARDING,DISORDERLY PERSON,4/6/2016,8:28:50 AM,NO PROBLEM FOUND,1601,TC02,Y,0,0,8:28:50 AM,8:28:50 AM,10:52:50 PM,0,0,9.6,9.6,42.338525,-83.204668,,,,Detroit,48127
P161000007,DPD,20,6500 METTETAL ST DET,842020,1 DWN/OVR WHL/OD,INVESTIGATE PERSON,4/8/2016,11:59:55 PM,,612,,N,4.9,0,11:59:55 PM,11:59:55 PM,2:23:55 AM,0,0,0,35.1,42.433906,-83.025291,,,,Detroit,48128
P160992496,DPD,22,1100 ASHLAND ST DET,843022,WANTD/WRNT FELON,INVESTIGATE PERSON,4/8/2016,11:59:43 PM,NCF,510,503,N,2.2,144.2,4:47:43 AM,2:23:43 AM,4:47:43 PM,3.9,150.2,26.5,176.7,42.43743,-83.092759,,,,Detroit,48129
P160992494,DPD,30,STOTTER ST   E 7 MILE RD DET  ,811030,.,ACCIDENT,4/8/2016,11:59:33 PM,,1104,,N,1.2,0,11:59:33 PM,11:59:33 PM,2:23:33 PM,0,0,0,20.6,42.380577,-83.015993,,,,Detroit,48130
P160992493,DPD,50,3400 E MCNICHOLS RD DET,PKNC,HANG UP/PRANKS,PRANK/OTHER,4/8/2016,11:59:12 PM,,1107,,N,0.4,0,11:59:12 PM,11:59:12 PM,9:35:12 AM,0,0,0,0.4,42.333094,-83.152054,,,,Detroit,48131
P160992495,DPD,30,1100 E LANTZ ST DET,PKCB,CALL BACK DESK,PRANK/OTHER,4/8/2016,11:59:11 PM,HANDLED BY OTHER,1101,,N,1.7,0,11:59:11 PM,11:59:11 PM,9:35:11 AM,0,0,0,3.4,42.434128,-83.014338,,,,Detroit,48132
P160992492,DPD,30,11100 STURGIS ST   W SEC DET,PKCB,CALL BACK DESK,PRANK/OTHER,4/8/2016,11:58:32 PM,HANDLED BY OTHER,,,N,0.9,0,11:58:32 PM,11:58:32 PM,11:58:32 AM,0,0,0,2.5,42.434692,-83.108291,,,,Detroit,48133
P160992491,DPD,30,5600 VAN DYKE ST DET,PKCB,CALL BACK DESK,PRANK/OTHER,4/8/2016,11:58:28 PM,HANDLED BY OTHER,705,,N,0.7,0,11:58:28 PM,11:58:28 PM,9:34:28 PM,0,0,0,1.9,42.440478,-83.257505,,,,Detroit,48134
P160992490,DPD,50,1000 MELDRUM ST DET,PKNC,HANG UP/PRANKS,PRANK/OTHER,4/8/2016,11:58:22 PM,,710,,N,0.5,0,11:58:22 PM,11:58:22 PM,11:58:22 AM,0,0,0,0.5,42.35171,-83.071742,,,,Detroit,48135
P160992489,DPD,10,5600 CABOT ST DET,811010,AUTO X-INJ,ACCIDENT,4/8/2016,11:56:37 PM,UNK,401,404,N,0.7,15.5,11:56:37 AM,2:20:37 AM,7:08:37 PM,12.6,28.9,325.9,354.8,42.3993,-82.991491,,,,Detroit,48136
